Bot #1 Type,Pruning,Depth,Heuristic,Wins,Mean Turn Time,    Stdev Turn Time,Bot #2 Type,Pruning,Depth,Heuristic,Wins,Mean Turn Time, Stdev Turn Time,    Mean # Turns/Match,Stdev # Rounds/Match,Mean Sec/Match, Stdev Sec/Match
MINIMAX,T,1,VORONOI,1,0.00511182438244,0.00202323991215,MINIMAX,T,4,RATIO,0,0.0219655457665,0.005720202776,68.0,0.0,0.915584087372,0.0
MINIMAX,T,1,VORONOI,1,0.652472901344,0.144187036586,MINIMAX,T,4,VORONOI,0,0.0370358770544,0.0339598015946,22.0,0.0,6.93215799332,0.0
MINIMAX,T,1,VORONOI,1,0.636820305949,0.510415894109,MINIMAX,T,4,CHAMBER,0,0.0204860170682,0.00628783369364,48.0,0.0,15.1385669708,0.0
MINIMAX,T,1,VORONOI,1,0.000464155560448,0.000102768314724,MINIMAX,F,1,RATIO,0,0.0242931409316,0.00568016543951,44.0,0.0,0.544224023819,0.0
MINIMAX,T,1,VORONOI,1,0.0265426635742,0.0020794364886,MINIMAX,F,1,VORONOI,0,0.0248623609543,0.00165940564267,20.0,0.0,0.487524032593,0.0
MINIMAX,T,1,VORONOI,1,0.0417552259233,0.00164269962475,MINIMAX,F,1,CHAMBER,0,0.0250428915024,0.000762741713305,20.0,0.0,0.626239061356,0.0
MINIMAX,T,1,VORONOI,1,0.00186056182498,0.000449738969858,MINIMAX,F,2,RATIO,0,0.023929270831,0.00483986388891,44.0,0.0,0.56555390358,0.0
MINIMAX,T,1,VORONOI,1,0.100478225284,0.0020914535782,MINIMAX,F,2,VORONOI,0,0.0278902769089,0.00870447280007,20.0,0.0,1.18322515488,0.0
MINIMAX,T,1,VORONOI,1,0.171932485369,0.00401401608589,MINIMAX,F,2,CHAMBER,0,0.0313024282455,0.0168811273206,20.0,0.0,1.86043596268,0.0
MINIMAX,T,1,VORONOI,1,0.0100004281083,0.00666309599886,MINIMAX,F,3,RATIO,0,0.0185404245545,0.00635218922632,294.0,0.0,4.18571901321,0.0
MINIMAX,T,1,VORONOI,0,0.17136704608,0.115198462252,MINIMAX,F,3,VORONOI,1,0.020718951483,0.00510651980137,151.0,0.0,14.5572149754,0.0
MINIMAX,T,1,VORONOI,1,0.286581207877,0.195117941931,MINIMAX,F,3,CHAMBER,0,0.019283335696,0.00621371697007,186.0,0.0,28.1589751244,0.0
MINIMAX,T,1,VORONOI,1,0.0198171561491,0.0155716761756,MINIMAX,F,4,RATIO,0,0.01879511081,0.00625125722138,284.0,0.0,5.46331501007,0.0
MINIMAX,T,1,VORONOI,1,0.361404273821,0.312329424687,MINIMAX,F,4,VORONOI,0,0.0192913082864,0.00540998163817,278.0,0.0,52.5554940701,0.0
MINIMAX,T,1,VORONOI,1,0.888120350772,0.487492960674,MINIMAX,F,4,CHAMBER,0,0.0227887340494,0.00552239548849,148.0,0.0,66.519272089,0.0
MINIMAX,T,1,VORONOI,1,1.7856558164e-05,5.05838031014e-06,NAIVE,N/A,N/A,N/A,0,0.0216087467816,0.00506362494067,98.0,0.0,1.0597448349,0.0
MINIMAX,T,1,CHAMBER,1,0.000492629550752,0.000127710633335,MINIMAX,T,1,RATIO,0,0.0403870886022,0.00886145155313,44.0,0.0,0.898900985718,0.0
MINIMAX,T,1,CHAMBER,1,0.0258447329203,0.00140283253881,MINIMAX,T,1,VORONOI,0,0.0389057636261,0.0131519263912,20.0,0.0,0.621676921844,0.0
MINIMAX,T,1,CHAMBER,1,0.0431792206234,0.00217352218991,MINIMAX,T,1,CHAMBER,0,0.0374749898911,0.0124550071478,20.0,0.0,0.763377904892,0.0
MINIMAX,T,1,CHAMBER,1,0.00132907004583,0.000355805260829,MINIMAX,T,2,RATIO,0,0.0407331423326,0.00905890593577,44.0,0.0,0.924075841904,0.0
MINIMAX,T,1,CHAMBER,1,0.0925874948502,0.0134589222101,MINIMAX,T,2,VORONOI,0,0.0407446731221,0.0051736475348,22.0,0.0,1.37408685684,0.0
MINIMAX,T,1,CHAMBER,1,0.146434164047,0.0170130182089,MINIMAX,T,2,CHAMBER,0,0.0424157055941,0.00179829748364,22.0,0.0,1.93093299866,0.0
MINIMAX,T,1,CHAMBER,1,0.00269476059944,0.00109137465784,MINIMAX,T,3,RATIO,0,0.0370605066419,0.00972745251957,64.0,0.0,1.26951408386,0.0
MINIMAX,T,1,CHAMBER,1,0.122244590619,0.0917397235304,MINIMAX,T,3,VORONOI,0,0.0327816532879,0.00895224187669,246.0,0.0,18.9461650848,0.0
MINIMAX,T,1,CHAMBER,1,0.397820305824,0.132688007296,MINIMAX,T,3,CHAMBER,0,0.0382347323678,0.0121293018679,22.0,0.0,4.39880394936,0.0
MINIMAX,T,1,CHAMBER,1,0.00563598814465,0.00200796345498,MINIMAX,T,4,RATIO,0,0.0403149236332,0.00906080799497,44.0,0.0,1.00532007217,0.0
MINIMAX,T,1,CHAMBER,1,0.27888923751,0.241851339339,MINIMAX,T,4,VORONOI,0,0.033312860426,0.00867095829293,182.0,0.0,28.1316430569,0.0
MINIMAX,T,1,CHAMBER,1,0.475441555977,0.460039358666,MINIMAX,T,4,CHAMBER,0,0.0340693417717,0.00935594213494,102.0,0.0,25.5096940994,0.0
MINIMAX,T,1,CHAMBER,1,0.000467697779338,0.000104322184915,MINIMAX,F,1,RATIO,0,0.0398789427497,0.0087328350336,44.0,0.0,0.887189149857,0.0
MINIMAX,T,1,CHAMBER,1,0.0252924760183,0.000827175529695,MINIMAX,F,1,VORONOI,0,0.0390211820602,0.00750369372776,20.0,0.0,0.617861032486,0.0
